episode,frame,step,loss,e,reward,rwd50avg,avgmaxQ
188,173652,811,4.18E-06,0.8894431,-21,-20.26,0.079909317
189,174556,904,6.79E-06,0.8887132,-20,-20.26,0.062569432
190,175440,884,8.79E-06,0.8878996,-21,-20.26,0.112347595
191,176288,848,3.53E-06,0.887104,-21,-20.28,0.007990063
192,177210,922,5.42E-07,0.8863408,-20,-20.26,0.129599884
193,178091,881,2.77E-05,0.885511,-21,-20.28,0.094763264
194,179068,977,1.11E-06,0.8847181,-20,-20.26,0.074889109
195,179980,912,3.58E-06,0.8838388,-21,-20.26,0.01290976
196,180859,879,3.71E-05,0.883018,-20,-20.26,0.118031166
197,181916,1057,1.72E-06,0.8822269,-19,-20.22,0.13663511
198,182821,905,8.64E-06,0.8812756,-21,-20.24,0.044717178
199,183673,852,4.52E-06,0.8804611,-21,-20.24,0.039628465
200,184525,852,1.52E-05,0.8796943,-21,-20.24,0.12587817
201,185353,1053,3.65E-06,0.8692,-20,-20.26,0.139162481
202,186225,872,6.15E-06,0.8684548,-20,-20.24,0.066217668
203,187295,1070,2.74E-06,0.86767,-20,-20.26,0.162147105
204,188119,824,1.49E-05,0.866707,-21,-20.26,0.131223008
205,188883,764,3.56E-06,0.8659654,-21,-20.26,0.10697142
206,189830,947,4.07E-06,0.8652778,-21,-20.28,0.079830185
207,190682,852,6.24E-06,0.8644255,-21,-20.3,0.046772465
208,191570,888,8.46E-06,0.8636587,-20,-20.28,0.11350403
209,192713,1143,3.49E-06,0.8628595,-19,-20.26,0.155859649
210,193643,930,9.54E-06,0.8618308,-20,-20.24,0.072136767
211,194723,1080,1.76E-05,0.8609938,-20,-20.26,0.124111205
212,195729,1006,2.29E-05,0.8600218,-21,-20.3,0.093896598
213,196825,1096,1.17E-05,0.8591164,-19,-20.28,0.196298078
214,197649,824,1.60E-05,0.85813,-21,-20.3,0.105175294
215,198493,844,8.02E-06,0.8573884,-21,-20.32,0.096442036
216,199444,951,7.82E-07,0.8566288,-20,-20.3,0.081035078
217,200527,1083,7.49E-06,0.8557729,-20,-20.32,0.202678278
218,201527,1000,7.96E-07,0.8547982,-20,-20.32,0.157770798
219,202674,1147,3.70E-06,0.8538982,-19,-20.3,0.199728653
220,203634,960,2.60E-06,0.8528659,-20,-20.3,0.162987307
221,204621,987,4.36E-06,0.8520019,-20,-20.28,0.168315515
222,205782,1161,5.78E-06,0.8511136,-19,-20.26,0.145643532
223,206875,1093,6.81E-06,0.8500687,-21,-20.28,0.156088248
224,207853,978,1.35E-05,0.849085,-20,-20.26,0.081794754
225,208830,977,4.27E-06,0.8482048,-20,-20.26,0.11672356
226,209792,962,3.92E-05,0.8473255,-21,-20.32,0.120130993
227,210884,1092,1.73E-06,0.8464597,-21,-20.36,0.133925438
228,211873,989,4.01E-06,0.8454769,-21,-20.38,0.140003875
229,212665,792,9.56E-06,0.8445868,-21,-20.4,0.082921252
230,213485,820,2.47E-05,0.843874,-21,-20.4,0.114651203
231,214470,985,5.79E-06,0.843136,-20,-20.38,0.121092312
232,215378,908,2.09E-05,0.8422495,-20,-20.36,0.081435539
233,216265,887,1.21E-06,0.8414323,-20,-20.34,0.130164176
234,217309,1044,5.00E-06,0.840634,-21,-20.38,0.128725335
235,218369,1060,3.35E-05,0.8396944,-21,-20.4,0.131989092
236,219587,1218,8.60E-07,0.8387404,-19,-20.36,0.19228366
237,220548,961,1.45E-05,0.8376442,-21,-20.36,0.090031847
238,221760,1212,1.56E-05,0.8367793,-19,-20.32,0.190422103
239,222801,1041,5.70E-06,0.8356885,-21,-20.34,0.114380218
240,223943,1142,1.25E-05,0.8347516,-19,-20.3,0.159116849
241,224917,974,4.27E-05,0.8337238,-21,-20.3,0.086064115
242,225766,849,6.60E-06,0.8328472,-21,-20.32,0.122953802
243,227006,1240,8.83E-06,0.8320831,-19,-20.28,0.233333364
244,228042,1036,7.53E-06,0.8309671,-19,-20.26,0.146598473
245,229197,1155,8.37E-06,0.8300347,-18,-20.2,0.209451348
246,230596,970,9.49E-06,0.8296139,-21,-20.22,0.207812086
247,231707,1111,5.51E-06,0.8287409,-19,-20.22,0.196781814
248,232684,977,3.13E-06,0.827741,-20,-20.2,0.134972245
249,233931,1247,5.03E-07,0.8268617,-19,-20.16,0.220690399
250,234755,824,7.17E-05,0.8257394,-21,-20.16,0.035875548
251,235712,957,3.81E-06,0.8249978,-21,-20.18,0.160093561
252,236689,977,6.66E-06,0.8241365,-20,-20.18,0.091741897
253,237712,1023,5.14E-06,0.8232572,-21,-20.2,0.152244806
254,238789,1077,6.52E-06,0.8223365,-20,-20.18,0.172285318
255,239759,970,4.60E-06,0.8213672,-21,-20.18,0.166658029
256,240901,1142,2.67E-06,0.8204942,-20,-20.16,0.260480344
257,241883,982,5.50E-05,0.8194664,-19,-20.12,0.156167865
258,242867,984,4.68E-06,0.8185826,-21,-20.14,0.183696091
259,244058,1191,2.88E-05,0.817697,-19,-20.14,0.239629865
260,245004,946,1.88E-05,0.8166251,-21,-20.16,0.113501303
261,246219,1215,0.000138034,0.8157737,-18,-20.12,0.22600098
262,247163,944,8.87E-06,0.8146802,-20,-20.1,0.15611513
263,247987,824,7.04E-06,0.8138306,-21,-20.14,0.143599719
264,248878,891,5.14E-06,0.813089,-21,-20.14,0.133990884
265,250090,1212,9.86E-06,0.8122871,-20,-20.12,0.251993001
266,251023,933,1.95E-05,0.8111963,-20,-20.12,0.203886732
267,252118,1095,2.50E-06,0.8103566,-19,-20.1,0.255201519
268,253138,1020,3.64E-06,0.8093711,-20,-20.1,0.213105917
269,254438,1300,2.49E-06,0.8084531,-21,-20.14,0.291802943
270,255310,872,4.97E-06,0.8072831,-21,-20.16,0.062769368
271,256514,1204,1.66E-05,0.8064983,-17,-20.1,0.259925812
272,257782,1268,4.27E-06,0.8054147,-19,-20.1,0.292707086
273,258816,1034,8.91E-06,0.8042735,-19,-20.06,0.18679361
274,259824,1008,3.92E-05,0.8033429,-20,-20.06,0.169955611
275,261128,1304,1.69E-06,0.8024357,-19,-20.04,0.315082014
276,262120,992,1.68E-06,0.8012621,-20,-20.02,0.254257202
277,263016,896,1.97E-05,0.8003693,-20,-20,0.141798288
278,263858,842,1.63E-05,0.7995629,-21,-20,0.097818509
279,265083,1225,4.05E-06,0.7988051,-20,-19.98,0.300382257
280,266302,1219,8.51E-06,0.7977026,-20,-19.96,0.305042297
281,267348,1046,3.94E-05,0.7966055,-20,-19.96,0.228334829
282,268292,944,0.000132178,0.7956641,-21,-19.98,0.242318004
283,269329,1037,1.55E-05,0.7948145,-19,-19.96,0.285522461
284,270309,980,8.65E-07,0.7938812,-21,-19.96,0.267103434
285,271264,955,0.000107159,0.7929992,-21,-19.96,0.262268871
286,272232,968,1.65E-05,0.7921397,-21,-20,0.191388711
287,273317,1085,3.65E-05,0.7912685,-19,-19.96,0.287873596
288,274229,912,4.16E-05,0.790292,-21,-20,0.220401719
289,275208,979,2.35E-05,0.7894712,-20,-19.98,0.182020947
290,276110,902,8.64E-05,0.7885901,-20,-20,0.228541851
291,277080,970,4.26E-06,0.7877783,-21,-20,0.288748205
292,278074,994,1.02E-05,0.7869053,-21,-20,0.27611658
293,279179,1105,6.83E-05,0.7860107,-21,-20.04,0.305244207
294,280253,1074,0.000179245,0.7850162,-18,-20.02,0.287325144
295,281385,1132,5.96E-06,0.7840496,-19,-20.04,0.341684401
296,282680,1295,2.01E-05,0.7830308,-18,-19.98,0.349113494
297,283723,1043,4.83E-06,0.7818653,-18,-19.96,0.282130361
298,284778,1055,7.72E-05,0.7809266,-20,-19.96,0.268341541
299,285941,1163,1.06E-05,0.7799771,-20,-19.98,0.359611124
300,287105,1164,1.07E-05,0.7789304,-21,-19.98,0.337410361
301,288083,978,4.83E-05,0.7778828,-21,-19.98,0.318094403
302,289237,1154,0.000100611,0.7770026,-17,-19.92,0.295423687
303,290444,1207,1.65E-06,0.775964,-19,-19.88,0.364421546
304,291534,1090,2.04E-06,0.7748777,-21,-19.9,0.312208444
305,292674,1140,1.17E-05,0.7738967,-19,-19.86,0.323353082
306,293864,1190,0.000144382,0.7728707,-20,-19.86,0.360865772
307,294840,976,3.62E-06,0.7717997,-21,-19.9,0.279648691
308,295914,1074,1.75E-05,0.7709213,-19,-19.86,0.325540453
309,296884,970,2.83E-06,0.7699547,-21,-19.9,0.301171184
310,297991,1107,1.35E-05,0.7690817,-21,-19.9,0.352931201
311,299028,1037,6.38E-05,0.7680854,-19,-19.92,0.306756675
312,300378,1350,3.22E-05,0.7671521,-20,-19.92,0.414029628
313,301533,1155,1.91E-05,0.7659371,-20,-19.9,0.356539369
314,302743,1210,3.19E-05,0.7648976,-21,-19.9,0.375283927
315,303971,1228,7.20E-05,0.7638086,-20,-19.9,0.388715774
316,305204,1233,2.21E-05,0.7627034,-20,-19.9,0.367283344
317,306110,906,2.02E-06,0.7615937,-20,-19.92,0.159768432
318,307163,1053,0.000155636,0.7607783,-21,-19.94,0.335920572
319,308173,1010,8.82E-07,0.7598306,-20,-19.92,0.313636452
320,309319,1146,8.73E-05,0.7589216,-19,-19.88,0.35662204
321,310388,1069,4.45E-06,0.7578902,-20,-19.94,0.303726137
322,311886,1498,6.81E-06,0.7569281,-19,-19.94,0.449230939
323,313187,1301,1.89E-05,0.7555799,-18,-19.92,0.401995927
324,314269,1082,3.38E-05,0.754409,-20,-19.92,0.36961174
325,315141,872,3.31E-05,0.7534352,-21,-19.96,0.206777081
326,316673,1532,0.000149086,0.7526504,-17,-19.9,0.434732616
327,318042,1369,3.08E-05,0.7512716,-18,-19.86,0.465982646
328,319408,1366,2.77E-05,0.7500395,-19,-19.82,0.464094758
329,320737,1329,7.22E-06,0.7488101,-19,-19.8,0.40933454
330,321961,1224,7.93E-05,0.747614,-18,-19.76,0.409783721
331,323055,1094,1.12E-05,0.7465124,-20,-19.76,0.390529841
332,323943,888,1.19E-05,0.7455278,-21,-19.76,0.264470994
333,325093,1150,0.000100157,0.7447286,-21,-19.8,0.463251412
334,326132,1039,1.03E-05,0.7436936,-20,-19.78,0.438391566
335,327395,1263,1.13E-05,0.7427585,-19,-19.74,0.428772748
336,328673,1278,3.31E-05,0.7416218,-20,-19.72,0.479055882
337,329993,1320,5.23E-05,0.7404716,-19,-19.72,0.477582514
338,331322,1329,3.22E-05,0.7392836,-21,-19.72,0.473307431
339,332281,959,8.35E-05,0.7380875,-20,-19.72,0.284383744
340,333560,1279,5.64E-05,0.7372244,-19,-19.7,0.459433675
341,334648,1088,5.38E-06,0.7360733,-20,-19.68,0.454693407
342,335727,1079,5.98E-06,0.7350941,-21,-19.68,0.394990176
343,336817,1090,1.23E-05,0.734123,-19,-19.64,0.423301816
344,338000,1183,8.33E-06,0.733142,-19,-19.66,0.446451694
345,339078,1078,2.17E-05,0.7320773,-21,-19.7,0.431440741
346,340340,1262,8.01E-06,0.7311071,-19,-19.72,0.445924103
347,341378,1038,9.68E-05,0.7299713,-21,-19.78,0.413884372
348,342315,937,0.000246874,0.7290371,-21,-19.8,0.30150035
349,343473,1158,7.44E-06,0.7281938,-18,-19.76,0.414971709
350,344736,1263,1.91E-06,0.7271516,-19,-19.72,0.460927725
351,346105,1369,4.14E-05,0.7260149,-17,-19.64,0.478352189
352,347245,1140,1.42E-05,0.7247828,-20,-19.7,0.482994735
353,348367,1122,1.29E-05,0.7237568,-18,-19.68,0.370889008
354,349472,1105,2.65E-05,0.722747,-21,-19.68,0.485130072
355,350760,1288,2.39E-05,0.7217525,-17,-19.64,0.523893297
356,351932,1172,6.08E-06,0.7205933,-20,-19.64,0.539829612
357,353311,1379,1.22E-05,0.7195385,-17,-19.56,0.549121022
358,354600,1289,3.43E-05,0.7182974,-19,-19.56,0.532767475
359,355508,908,1.02E-05,0.7171373,-21,-19.56,0.498067826
360,356875,1367,2.08E-05,0.7163201,-16,-19.46,0.513653994
361,357923,1048,1.52E-05,0.7150898,-20,-19.48,0.462535024
362,359186,1263,7.53E-06,0.7141466,-20,-19.48,0.532460332
363,360522,1336,1.44E-05,0.7130099,-20,-19.48,0.583322644
364,361894,1372,1.55E-05,0.7118075,-18,-19.42,0.591887414
365,362829,935,7.02E-06,0.7105727,-21,-19.44,0.360790342
366,363916,1087,5.95E-06,0.7097312,-19,-19.42,0.462274641
367,365170,1254,3.47E-05,0.7087529,-18,-19.38,0.564696074
368,366431,1261,2.26E-05,0.7076243,-18,-19.32,0.529594719
369,367628,1197,4.62E-05,0.7064894,-18,-19.28,0.470459998
370,368843,1215,2.39E-05,0.7054121,-19,-19.28,0.512078404
371,370493,1202,3.33E-05,0.7050089,-21,-19.3,0.574785829
372,371852,1359,6.45E-06,0.7039271,-17,-19.26,0.56698364
373,373190,1338,5.15E-06,0.702704,-17,-19.24,0.582724094
374,374253,1063,0.000359585,0.7014998,-21,-19.26,0.552352905
375,375827,1574,2.02E-05,0.7005431,-15,-19.14,0.620833397
376,377059,1232,1.68E-05,0.6991265,-21,-19.22,0.607213974
377,378255,1196,8.77E-06,0.6980177,-19,-19.24,0.538440347
378,379852,1597,5.49E-05,0.6969413,-18,-19.22,0.684405446
379,381266,1414,1.45E-05,0.695504,-18,-19.2,0.656642556
380,382353,1087,1.79E-05,0.6942314,-19,-19.22,0.572670817
381,383491,1138,0.000172435,0.6932531,-20,-19.22,0.608605266
382,384600,1109,2.47E-05,0.6922289,-20,-19.2,0.593714356
383,385885,1285,1.62E-05,0.6912308,-17,-19.12,0.623734832
384,386925,1040,2.65E-05,0.6900743,-21,-19.14,0.553679466
385,388220,1295,9.89E-06,0.6891383,-18,-19.12,0.665946066
386,389269,1049,3.02E-05,0.6879728,-20,-19.12,0.609761238
387,390269,1000,1.87E-05,0.6870287,-21,-19.16,0.628480196
388,391613,1344,3.32E-05,0.6861287,-18,-19.1,0.672311425
389,392771,1158,3.70E-05,0.6849191,-20,-19.1,0.673448682
390,393811,1040,2.33E-05,0.6838769,-20,-19.12,0.646910071
391,394816,1005,1.71E-05,0.6829409,-20,-19.12,0.641469061
392,395870,1054,9.94E-06,0.6820364,-21,-19.12,0.640622735
393,397345,1475,8.11E-05,0.6810878,-19,-19.12,0.72864002
394,398528,1183,2.61E-05,0.6797603,-20,-19.14,0.665447652
395,399987,1459,3.33E-05,0.6786956,-18,-19.08,0.747410059
396,401323,1336,2.69E-05,0.6773825,-20,-19.1,0.765082657
397,403043,1720,2.23E-05,0.6761801,-15,-18.98,0.818450987
398,404467,1424,0.000108419,0.6746321,-17,-18.9,0.77476263
399,405630,1163,0.000223554,0.6733505,-20,-18.94,0.720194995
400,406992,1362,7.25E-06,0.6723038,-19,-18.94,0.745740175
401,408331,1339,0.000154018,0.671078,-20,-19,0.732465744
402,409764,1433,0.00016105,0.6698729,-18,-18.96,0.807177961
403,411133,1369,3.58E-05,0.6685832,-17,-18.94,0.783268511
404,412638,1505,5.73E-05,0.6673511,-19,-18.9,0.77474618
405,414018,1380,1.74E-05,0.6659966,-19,-18.94,0.790988207
406,415530,1512,8.48E-05,0.6647546,-18,-18.9,0.791826427
407,417108,1578,4.08E-05,0.6633938,-17,-18.9,0.810747564
408,418619,1511,8.10E-06,0.6619736,-20,-18.92,0.796425343
409,420203,1584,5.81E-05,0.6606137,-17,-18.84,0.831644833
410,421559,1356,7.06E-05,0.6591881,-19,-18.9,0.797858834
411,422772,1213,1.62E-05,0.6579677,-18,-18.86,0.804670691
412,424101,1329,1.20E-05,0.656876,-17,-18.8,0.831236899
413,425132,1031,9.11E-06,0.6556799,-20,-18.8,0.730967104
414,426450,1318,3.23E-05,0.654752,-19,-18.82,0.783385754
415,427856,1406,1.29E-05,0.6535658,-20,-18.8,0.817456424
416,429145,1289,4.15E-05,0.6523004,-19,-18.8,0.79507494
417,430382,1237,2.22E-05,0.6511403,-19,-18.82,0.803250492
418,431681,1299,2.49E-05,0.650027,-18,-18.82,0.814049959
